id,user_name,user_location,date,text,hashtags,retweets,favorites,Country,Latitude,Longitude,cleaned_text
1624115816815009792,M.d Jewell Azad,"Darjeeling, India",2023-02-10 18:39:19+00:00,"Picture of the day.. 💞
#TurkeyQuake #SyriaNeedsHelp
#helpSyrianPeople #earthquakeinsyria #ISRO #OperationDost… https://t.co/q6hlBcdNkH","['TurkeyQuake', 'SyriaNeedsHelp', 'helpSyrianPeople', 'earthquakeinsyria', 'ISRO', 'OperationDost']",0.0,1.0,India,20.5937,78.9629,picture day turkeyquake syrianeedshelp helpsyrianpeople earthquakeinsyria isro operationdost
1624133719899402241,rababe kardellass,"Istanbul, Turkey",2023-02-10 19:50:28+00:00,We are praying with Turkey and Syria 🙏 🇹🇷🇸🇾 #earthquakeinsyria #earthquaketurkey #EarthquakeTurkeySyria https://t.co/LOqyhpfz2x,"['earthquakeinsyria', 'earthquaketurkey', 'EarthquakeTurkeySyria']",0.0,0.0,Turkey,38.9637,35.2433,praying turkey syria earthquakeinsyria earthquaketurkey earthquaketurkeysyria
1623162612325416960,Hifzur ,"Sarai Mir, India",2023-02-08 03:31:38+00:00,I beg the whole world.  For God's sake help us!.  We are in a very bad situation.  tens of thousands of people are… https://t.co/e4RkCOCdXi,,2.0,6.0,India,20.5937,78.9629,beg whole world god sake help u bad situation ten thousand people
1623161596532129792,Akshay Anand,"New Delhi, India",2023-02-08 03:27:36+00:00,"#Earthquake 3.6 occurred 11 km East of #Bahçe (#Turkey) 8 min ago

#Earthquake (#deprem) M4.1 occurred 26 km E of… https://t.co/X2VgmommLM","['Earthquake', 'Bahçe', 'Turkey', 'Earthquake', 'deprem']",1.0,1.0,India,20.5937,78.9629,earthquake occurred km east bah e turkey min ago earthquake deprem occurred km e
1623159287525810176,𝕻𝖆𝖗𝖚𝖑 (Abdu ❤️❤️),"Mainpuri, India",2023-02-08 03:18:25+00:00,Most touching pic on the Internet today A father holds the hand of his 15 yr old Daughter as she lies lifeless on h… https://t.co/xXPE1umZg9,,22.0,76.0,India,20.5937,78.9629,touching pic internet today father hold hand yr old daughter lie lifeless h
1623146533729484801,salil arunkumar sand,"Mumbai, India",2023-02-08 02:27:44+00:00,Oh God please be kind!! Yet another earthquake strikes #Turkey!! #TurkeyEarthquake #TurkeyQuake #PrayForTurkey… https://t.co/ELmQ9dAx4h,"['Turkey', 'TurkeyEarthquake', 'TurkeyQuake', 'PrayForTurkey']",8.0,103.0,India,20.5937,78.9629,oh god please kind yet another earthquake strike turkey turkeyearthquake turkeyquake prayforturkey
1623142680816656384,Ganesh Saini,"Ajmer, India",2023-02-08 02:12:26+00:00,I beg the whole world.  For God's sake help us!.  We are in a very bad situation.  tens of thousands of people are… https://t.co/iTBOhEjtdI,,5.0,6.0,India,20.5937,78.9629,beg whole world god sake help u bad situation ten thousand people
1623142664781672448,Mike Biker Canada,"Ottawa, Canada",2023-02-08 02:12:22+00:00,"https://t.co/AkOvfdQen7
Live footage of Ten building collapses during the Earthquake in Turkey &amp; Syria… https://t.co/zDwIqm58pa",,0.0,1.0,Canada,56.1304,-106.3468,live footage ten building collapse earthquake turkey amp syria
1623135992982151169,Lakshman,"New Delhi, India",2023-02-08 01:45:51+00:00,"Terrifying: How can she even thought like that!!
#TurkeyEarthquake #earthquake #Turkey #earthquaketurkey #Syria… https://t.co/xhdfIfTB77","['TurkeyEarthquake', 'earthquake', 'Turkey', 'earthquaketurkey', 'Syria']",3.0,6.0,India,20.5937,78.9629,terrifying even thought like turkeyearthquake earthquake turkey earthquaketurkey syria
1623128973390618624,Santu Mehra 🅾️➕,"Sikar, India",2023-02-08 01:17:58+00:00,I beg the whole world.  For God's sake help us!.  We are in a very bad situation.  tens of thousands of people are… https://t.co/PEy8i52DPv,,20.0,80.0,India,20.5937,78.9629,beg whole world god sake help u bad situation ten thousand people
1623120204883542017,Turkish Paramedic,Turkey,2023-02-08 00:43:07+00:00,"Second earthquake at 7.6 magnitude

#PrayForTurkey #TurkeyEarthquake #earthquakeinturkey #turkey #TurkeyQuake… https://t.co/oH2KeSNQD1","['PrayForTurkey', 'TurkeyEarthquake', 'earthquakeinturkey', 'turkey', 'TurkeyQuake']",23.0,64.0,Turkey,38.9637,35.2433,second earthquake magnitude prayforturkey turkeyearthquake earthquakeinturkey turkey turkeyquake
1623115572580941826,𝙍𝙚𝙨-𝙋𝙚𝙘𝙏𝙧𝙪𝙩𝙝,United Kingdom,2023-02-08 00:24:43+00:00,"Thank You Bartkowiak He has already saved 8 life ( 20:00 07.02.23 )

#Dziękuję 

#TurkeyEarthquake #andrej #poland… https://t.co/UWOZFnbUki","['Dziękuję', 'TurkeyEarthquake', 'andrej', 'poland']",0.0,5.0,United Kingdom,55.3781,-3.436,thank bartkowiak already saved life dzi kuj turkeyearthquake andrej poland
1623114928025468930,𝙍𝙚𝙨-𝙋𝙚𝙘𝙏𝙧𝙪𝙩𝙝,United Kingdom,2023-02-08 00:22:09+00:00,"Thank You Bartkowiak He has already saved 8 live ( 20:00 07.02.23 )

#Dziękuję 

#TurkeyEarthquake #andrej #poland… https://t.co/nNeKX6WdeM","['Dziękuję', 'TurkeyEarthquake', 'andrej', 'poland']",0.0,1.0,United Kingdom,55.3781,-3.436,thank bartkowiak already saved live dzi kuj turkeyearthquake andrej poland
1623114886073950209,Turkish Paramedic,Turkey,2023-02-08 00:21:59+00:00,"Istanbul airport at the moment. Rescue teams and volunteers are waiting for their flights.

#PrayForTurkey… https://t.co/99gxvRhBqK",['PrayForTurkey'],93.0,349.0,Turkey,38.9637,35.2433,istanbul airport moment rescue team volunteer waiting flight prayforturkey
1623113882259578885,"Dr. Şerafettin Arslan, SMMM","İzmir, Turkey",2023-02-08 00:18:00+00:00,"To the attention of @elonmusk

#EarthquakeTurkey… https://t.co/GHhyHJUrE4",['EarthquakeTurkey'],24.0,81.0,Turkey,38.9637,35.2433,attention elonmusk earthquaketurkey
1623113418147344384,"Dr. Şerafettin Arslan, SMMM","İzmir, Turkey",2023-02-08 00:16:09+00:00,"To the attention of @elonmusk

#EarthquakeTurkey
#PrayForTurkey… https://t.co/xkQkh6mxZl","['EarthquakeTurkey', 'PrayForTurkey']",0.0,2.0,Turkey,38.9637,35.2433,attention elonmusk earthquaketurkey prayforturkey
1623109004418248706,$FVCKDOLLAR,France,2023-02-07 23:58:37+00:00,"You can support Turkey bro PLEASE !
@kkoncrypto #jeneratör #earthquaketurkey","['jeneratör', 'earthquaketurkey']",0.0,1.0,France,46.6034,1.8883,support turkey bro please kkoncrypto jenerat r earthquaketurkey
1623107890528632832,Turkish Paramedic,Turkey,2023-02-07 23:54:11+00:00,"The most valuable silence...

#PrayForTurkey #TurkeyEarthquake #earthquakeinturkey #turkey #TurkeyQuake… https://t.co/fULvWOwelo","['PrayForTurkey', 'TurkeyEarthquake', 'earthquakeinturkey', 'turkey', 'TurkeyQuake']",12.0,70.0,Turkey,38.9637,35.2433,valuable silence prayforturkey turkeyearthquake earthquakeinturkey turkey turkeyquake
1623104188518481923,Turkish Paramedic,Turkey,2023-02-07 23:39:29+00:00,"Rescue dog without sleep for 30 hours

#PrayForTurkey #TurkeyEarthquake #earthquakeinturkey #turkey #TurkeyQuake… https://t.co/VTwY164D9l","['PrayForTurkey', 'TurkeyEarthquake', 'earthquakeinturkey', 'turkey', 'TurkeyQuake']",491.0,2915.0,Turkey,38.9637,35.2433,rescue dog without sleep hour prayforturkey turkeyearthquake earthquakeinturkey turkey turkeyquake
1623101889842757633,Jane Wilson,United States,2023-02-07 23:30:20+00:00,"@BBCWorld Scientists warned about upcoming earthquakes at the forum 11/12/22 ""#GlobalCrisis. Our survival is in uni… https://t.co/zEADUo4y4z",['GlobalCrisis'],0.0,0.0,United States,37.0902,-95.7129,bbcworld scientist warned upcoming earthquake forum globalcrisis survival uni
1623101291336552448,Turkish Paramedic,Turkey,2023-02-07 23:27:58+00:00,"Some burglary incidents are being reported. 

#PrayForTurkey #TurkeyEarthquake #earthquakeinturkey #turkey… https://t.co/8LrzeCthW4","['PrayForTurkey', 'TurkeyEarthquake', 'earthquakeinturkey', 'turkey']",8.0,19.0,Turkey,38.9637,35.2433,burglary incident reported prayforturkey turkeyearthquake earthquakeinturkey turkey
1623100666699816960,ᕼayel Khazaal,United Kingdom,2023-02-07 23:25:29+00:00,"The father could not leave his daughter hand who died under the rubble, despite the bitter cold, he kept holding on… https://t.co/k9X0kPYxrJ",,1.0,7.0,United Kingdom,55.3781,-3.436,father could leave daughter hand died rubble despite bitter cold kept holding
1623099717977792513,"May Kazem, MD MHA FRCPC (She/her)","Vancouver, BC, Canada",2023-02-07 23:21:43+00:00,Tents for Turkey https://t.co/HZivcMsDhg #earthquakes #earthquaketurkey,"['earthquakes', 'earthquaketurkey']",0.0,2.0,Canada,56.1304,-106.3468,tent turkey earthquake earthquaketurkey
1623099182402752513,Turkish Paramedic,Turkey,2023-02-07 23:19:35+00:00,"Children has been saved from the rubble.
Rescuer says ''I promised,didn't I?"".

#PrayForTurkey #TurkeyEarthquake… https://t.co/C8eMwEG9DP","['PrayForTurkey', 'TurkeyEarthquake']",32.0,170.0,Turkey,38.9637,35.2433,child saved rubble rescuer say promised prayforturkey turkeyearthquake
1623094215151439876,Melis B,"Istanbul, Turkey",2023-02-07 22:59:51+00:00,"Hi Elon, Please remove the daily tweet and retweet limit. There are a lot of people that needs help in the earthqua… https://t.co/dgNC31jhkU",,1.0,2.0,Turkey,38.9637,35.2433,hi elon please remove daily tweet retweet limit lot people need help earthqua
1623094041528131585,Turkish Paramedic,Turkey,2023-02-07 22:59:09+00:00,"Israel rescue team is in Turkey. No Arabian country is here.Nobody cares about Muslim brotherhood here, never did,… https://t.co/dgwP5YFm5L",,85.0,343.0,Turkey,38.9637,35.2433,israel rescue team turkey arabian country nobody care muslim brotherhood never
1623093289766322176,Turkish Paramedic,Turkey,2023-02-07 22:56:10+00:00,"A baby has been rescued in Gaziantep.

#PrayForTurkey #TurkeyEarthquake #earthquakeinturkey #turkey #TurkeyQuake… https://t.co/yN5DRP3EZC","['PrayForTurkey', 'TurkeyEarthquake', 'earthquakeinturkey', 'turkey', 'TurkeyQuake']",221.0,1154.0,Turkey,38.9637,35.2433,baby rescued gaziantep prayforturkey turkeyearthquake earthquakeinturkey turkey turkeyquake
1623091940823539712,Turkish Paramedic,Turkey,2023-02-07 22:50:48+00:00,"Not a dystopia,reality.
Turkey is facing the worst disaster in its history.

#PrayForTurkey #TurkeyEarthquake… https://t.co/0Dv3csBR9I","['PrayForTurkey', 'TurkeyEarthquake']",26.0,98.0,Turkey,38.9637,35.2433,dystopia reality turkey facing worst disaster history prayforturkey turkeyearthquake
